file,scene,person,when
scenes/scene-001/000.jpg,scene-001,0,daytime
scenes/scene-001/001.jpg,scene-001,0,daytime
scenes/scene-001/002.jpg,scene-001,0,daytime
scenes/scene-001/003.jpg,scene-001,0,daytime
scenes/scene-001/004.jpg,scene-001,0,daytime
scenes/scene-001/005.jpg,scene-001,0,daytime
scenes/scene-001/006.jpg,scene-001,0,daytime
scenes/scene-001/007.jpg,scene-001,0,daytime
scenes/scene-001/008.jpg,scene-001,0,daytime
scenes/scene-001/009.jpg,scene-001,0,daytime
scenes/scene-001/010.jpg,scene-001,0,daytime
scenes/scene-001/011.jpg,scene-001,0,daytime
scenes/scene-001/012.jpg,scene-001,0,daytime
scenes/scene-001/013.jpg,scene-001,0,daytime
scenes/scene-001/014.jpg,scene-001,0,daytime
scenes/scene-001/015.jpg,scene-001,0,daytime
scenes/scene-001/016.jpg,scene-001,0,daytime
scenes/scene-001/017.jpg,scene-001,0,daytime
scenes/scene-001/018.jpg,scene-001,0,daytime
scenes/scene-001/019.jpg,scene-001,0,daytime
scenes/scene-001/020.jpg,scene-001,0,daytime
scenes/scene-001/021.jpg,scene-001,0,daytime
scenes/scene-001/022.jpg,scene-001,0,daytime
scenes/scene-001/023.jpg,scene-001,0,daytime
scenes/scene-001/024.jpg,scene-001,0,daytime
scenes/scene-001/025.jpg,scene-001,0,daytime
scenes/scene-001/026.jpg,scene-001,0,daytime
scenes/scene-001/027.jpg,scene-001,0,daytime
scenes/scene-001/028.jpg,scene-001,0,daytime
scenes/scene-001/029.jpg,scene-001,0,daytime
scenes/scene-001/030.jpg,scene-001,0,daytime
scenes/scene-001/031.jpg,scene-001,0,daytime
scenes/scene-001/032.jpg,scene-001,0,daytime
scenes/scene-001/033.jpg,scene-001,0,daytime
scenes/scene-001/034.jpg,scene-001,0,daytime
scenes/scene-001/035.jpg,scene-001,0,daytime
scenes/scene-001/036.jpg,scene-001,0,daytime
scenes/scene-001/037.jpg,scene-001,0,daytime
scenes/scene-001/038.jpg,scene-001,0,daytime
scenes/scene-001/039.jpg,scene-001,0,daytime
scenes/scene-001/040.jpg,scene-001,0,daytime
scenes/scene-001/041.jpg,scene-001,0,daytime
scenes/scene-001/042.jpg,scene-001,0,daytime
scenes/scene-001/043.jpg,scene-001,0,daytime
scenes/scene-001/044.jpg,scene-001,0,daytime
scenes/scene-001/045.jpg,scene-001,0,daytime
scenes/scene-001/046.jpg,scene-001,0,daytime
scenes/scene-001/047.jpg,scene-001,0,daytime
scenes/scene-001/048.jpg,scene-001,0,daytime
scenes/scene-001/049.jpg,scene-001,0,daytime
scenes/scene-001/050.jpg,scene-001,0,daytime
scenes/scene-001/051.jpg,scene-001,0,daytime
scenes/scene-001/052.jpg,scene-001,0,daytime
scenes/scene-001/053.jpg,scene-001,0,daytime
scenes/scene-001/054.jpg,scene-001,0,daytime
scenes/scene-001/055.jpg,scene-001,0,daytime
